vendedor;produto;vendas;meta;custo;regiao;status_vendas;classificacao;bonus_incentivo;produto_destaque;lucro;margem;bonus;tem_erro;;vendedores acima da meta:
Daniel;Calça;1779;2000;2795;Oeste;Abaixo da meta;Regular;Não;Normal;-1016;-57%;150;OK;;124
Elisa;Tênis;3606;2000;589;Leste;Meta batida;Excelente;Não;Destaque;3017;84%;300;OK;;
Carla;Camiseta;2844;2000;2829;Leste;Meta batida;Regular;Não;Normal;15;1%;300;OK;;Produtos considerados destaque:
Elisa;Camiseta;3456;2000;918;Leste;Meta batida;Excelente;Não;Normal;2538;73%;300;OK;;69
Elisa;Boné;4145;2000;90;Leste;Meta batida;Excelente;Não;Destaque;4055;98%;500;OK;;
Bruno;Tênis;erro;2000;789;Leste;Verificar dados;Verificar dados;Não;Verificar dados;Erro no cálculo;Indisponível;Verificar dados;Erro;;Total de bônus que a empresa pagaria
Carla;Moletom;3218;2000;1996;Sul;Meta batida;Excelente;Sim;Normal;1222;38%;300;OK;;45100
Carla;Tênis;2241;2000;2599;Leste;Meta batida;Regular;Não;Destaque;-358;-16%;150;OK;;
Carla;Boné;3159;2000;1274;Leste;Meta batida;Excelente;Não;Normal;1885;60%;300;OK;;
Elisa;Boné;4648;2000;978;Oeste;Meta batida;Excelente;Não;Destaque;3670;79%;500;OK;;
Daniel;Tênis;3059;2000;2086;Norte;Meta batida;Excelente;Sim;Destaque;973;32%;300;OK;;
Carla;Boné;2365;2000;2558;Sul;Meta batida;Regular;Sim;Normal;-193;-8%;150;OK;;
Elisa;Tênis;2579;2000;N/A;Sul;Meta batida;Regular;Sim;Destaque;Erro no cálculo;Indisponível;300;Erro;;
Bruno;Calça;4746;2000;2849;Sul;Meta batida;Excelente;Sim;Destaque;1897;40%;500;OK;;
Daniel;Tênis;1735;2000;974;Leste;Abaixo da meta;Regular;Não;Destaque;761;44%;150;OK;;
Bruno;Tênis;1857;2000;1631;Leste;Abaixo da meta;Regular;Não;Destaque;226;12%;150;OK;;
Daniel;Boné;4552;2000;439;Leste;Meta batida;Excelente;Não;Destaque;4113;90%;500;OK;;
Elisa;Boné;2170;2000;1667;Oeste;Meta batida;Regular;Não;Normal;503;23%;150;OK;;
Ana;Camiseta;#DIV/0!;2000;2980;Norte;Verificar dados;Verificar dados;Não;Verificar dados;Erro no cálculo;Indisponível;Verificar dados;Erro;;
Daniel;Camiseta;3351;2000;305;Leste;Meta batida;Excelente;Não;Normal;3046;91%;300;OK;;
Bruno;Calça;3830;2000;758;Norte;Meta batida;Excelente;Sim;Normal;3072;80%;300;OK;;
Elisa;Camiseta;2589;2000;1888;Oeste;Meta batida;Regular;Não;Normal;701;27%;300;OK;;
Daniel;Tênis;1731;2000;1994;Sul;Abaixo da meta;Regular;Não;Destaque;-263;-15%;150;OK;;
Ana;Boné;2916;2000;2547;Leste;Meta batida;Regular;Não;Normal;369;13%;300;OK;;
Ana;Camiseta;1115;2000;59;Norte;Abaixo da meta;Bom;Não;Normal;1056;95%;0;OK;;
Carla;Camiseta;1448;2000;2921;Norte;Abaixo da meta;Bom;Não;Normal;-1473;-102%;0;OK;;
Carla;Calça;4711;2000;847;Leste;Meta batida;Excelente;Não;Destaque;3864;82%;500;OK;;
Bruno;Calça;3187;2000;926;Sul;Meta batida;Excelente;Sim;Normal;2261;71%;300;OK;;
Daniel;Tênis;2939;2000;1078;Sul;Meta batida;Regular;Sim;Destaque;1861;63%;300;OK;;
Daniel;Boné;435;2000;1065;Sul;Abaixo da meta;Bom;Não;Normal;-630;-145%;0;OK;;
Carla;Calça;4692;2000;1874;Oeste;Meta batida;Excelente;Não;Destaque;2818;60%;500;OK;;
