vendedor;produto;categoria;vendas;meta;percentual_meta;qtde_clientes;ticket_medio;avaliacao
Daniel;Boné;Calçados;3620;2500;1,45;96;77;4
Elisa;Camiseta;Calçados;516;2500;0,21;84;150;4
Carla;Boné;Calçados;1743;2500;0,7;27;90;4
Elisa;Calça Jeans;Acessórios;2705;2500;1,08;85;194;4
Elisa;Camiseta;Acessórios;3024;2500;1,21;18;190;4
Bruno;Moletom;Vestuário;15000;2500;0,63;83;95;3
Carla;Tênis;Vestuário;3944;2500;1,58;67;84;4
Carla;Boné;Acessórios;3065;2500;1,23;26;183;4
Carla;Tênis;Calçados;1560;2500;0,62;16;131;5
Elisa;Tênis;Vestuário;2827;2500;1,13;55;164;4
Daniel;Camiseta;Acessórios;3920;2500;1,57;22;96;5
Carla;Tênis;Acessórios;801;2500;0,32;49;59;4
Elisa;Moletom;Acessórios;50;2500;1,91;51;105;3
Bruno;Tênis;Calçados;1106;2500;0,44;18;79;5
Daniel;Camiseta;Acessórios;3670;2500;1,47;59;158;3
Bruno;Moletom;Acessórios;1199;2500;0,48;36;54;3
Daniel;Calça Jeans;Acessórios;1639;2500;0,66;75;168;1
Elisa;Tênis;Acessórios;690;2500;0,28;14;82;4
Ana;Camiseta;Vestuário;2800;2500;1,12;38;167;4
Daniel;Calça Jeans;Vestuário;1480;2500;0,59;46;114;4
Bruno;Calça Jeans;Acessórios;3475;2500;1,39;47;195;5
Elisa;Boné;Calçados;1684;2500;0,67;92;60;2
Daniel;Moletom;Vestuário;3827;2500;1,53;17;134;3
Ana;Tênis;Acessórios;3894;2500;1,56;74;75;3
Ana;Camiseta;Vestuário;627;2500;0,25;95;112;2
Carla;Boné;Vestuário;2565;2500;1,03;26;135;4
Carla;Moletom;Calçados;2316;2500;0,93;80;108;4
Bruno;Boné;Acessórios;1069;2500;0,43;98;76;4
Daniel;Moletom;Acessórios;2395;2500;0,96;54;147;3
Daniel;Moletom;Calçados;3233;2500;1,29;13;154;4
Carla;Tênis;Calçados;4363;2500;1,75;45;148;1
Daniel;Moletom;Acessórios;4514;2500;1,81;79;178;5
Daniel;Boné;Acessórios;3401;2500;1,36;40;198;2
Ana;Moletom;Calçados;2186;2500;0,87;28;104;4
Carla;Tênis;Vestuário;3509;2500;1,4;70;55;5
Elisa;Tênis;Vestuário;654;2500;0,26;63;144;4
Carla;Boné;Calçados;3037;2500;1,21;48;182;5
Elisa;Calça Jeans;Vestuário;1909;2500;0,76;83;151;3
